Treatment	Box	Leaf	Age
19Te1Tu	10	4	new
19Te1Tu	10	5	old
19Te48h1Tu	1	2	new
19Te48h1Tu	1	3	old
19Te48h1Tu	1	4	new
19Te48h1Tu	1	5	old
19Te48h1Tu	2	2	old
19Te48h1Tu	2	3	new
19Te48h1Tu	2	4	old
19Te48h1Tu	2	5	new
19Te48h1Tu	3	2	new
19Te48h1Tu	3	3	old
19Te48h1Tu	3	4	new
19Te48h1Tu	3	5	old
19Te48h1Tu	4	2	old
19Te48h1Tu	4	3	new
19Te48h1Tu	4	4	old
19Te48h1Tu	4	5	new
19Te48h1Tu	5	2	new
19Te48h1Tu	5	3	old
19Te48h1Tu	5	4	new
19Te48h1Tu	5	5	old
19Te48h1Tu	6	2	old
19Te48h1Tu	6	3	new
19Te48h1Tu	6	4	old
19Te48h1Tu	6	5	new
19Te48h1Tu	7	2	new
19Te48h1Tu	7	3	old
19Te48h1Tu	7	4	new
19Te48h1Tu	7	5	old
19Te48h1Tu	8	2	old
19Te48h1Tu	8	3	new
19Te48h1Tu	8	4	old
19Te48h1Tu	8	5	new
19Te48h1Tu	9	2	new
19Te48h1Tu	9	3	old
19Te48h1Tu	9	4	new
19Te48h1Tu	9	5	old
19Te48h1Tu	10	2	old
19Te48h1Tu	10	3	new
19Te48h1Tu	10	4	old
19Te48h1Tu	10	5	new
20Tu	1	2	new
20Tu	1	3	old
20Tu	1	4	new
20Tu	1	5	old
20Tu	2	2	old
20Tu	2	3	new
20Tu	2	4	old
20Tu	2	5	new
20Tu	3	2	new
20Tu	3	3	old
20Tu	3	4	new
20Tu	3	5	old
20Tu	4	2	old
20Tu	4	3	new
20Tu	4	4	old
20Tu	4	5	new
20Tu	5	2	new
20Tu	5	3	old
20Tu	5	4	new
20Tu	5	5	old
20Tu	6	2	old
20Tu	6	3	new
20Tu	6	4	old
20Tu	6	5	new
20Tu	7	2	new
20Tu	7	3	old
20Tu	7	4	new
20Tu	7	5	old
20Tu	8	2	old
20Tu	8	3	new
20Tu	8	4	old
20Tu	8	5	new
20Tu	9	2	new
20Tu	9	3	old
20Tu	9	4	new
20Tu	9	5	old
20Tu	10	2	old
20Tu	10	3	new
20Tu	10	4	old
20Tu	10	5	new
10Te48h10Tu	1	2	new
10Te48h10Tu	1	3	old
10Te48h10Tu	1	4	new
10Te48h10Tu	1	5	old
10Te48h10Tu	2	2	old
10Te48h10Tu	2	3	new
10Te48h10Tu	2	4	old
10Te48h10Tu	2	5	new
10Te48h10Tu	3	2	new
10Te48h10Tu	3	3	old
10Te48h10Tu	3	4	new
